R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,80,47,58,70,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi,PIDiRelaxWeightX
14511,0,-3072,5120,-3072,-1160,-1023,-551,-1632,0,1024
14516,0,-6144,15360,11264,-3944,-866,12461,-17271,0,1024
14521,0,-6144,9216,-11264,-2088,-912,2386,-5386,0,1024
14526,0,-6144,11264,12288,-2552,-847,6368,-9767,0,1024
14531,0,-6144,17408,-21504,-3944,-911,6574,-11429,0,1024
14536,0,-6144,7168,27648,-1624,-820,2650,-5094,0,1024
14541,0,-6144,26624,-25600,-6032,-895,11554,-18481,0,1024
14546,0,-6144,-18432,32768,2552,-814,-11773,13511,0,4096
14551,0,-6144,34816,-18432,-7888,-901,15834,-24623,0,1024
14556,0,-6144,-24576,24576,5568,-753,-21217,26032,0,4096
14561,0,-6144,13312,2048,-3016,-866,-3856,-26,0,1024
14566,0,-6144,2048,1024,-464,-696,-1905,745,0,1024
14571,0,-6144,1024,19456,-232,-828,-13139,12079,0,1024
14576,0,-6144,23552,14336,-5336,-627,12381,-18344,0,1024
14581,0,-6144,-32768,-1024,7424,-545,-29421,36300,0,4096
14586,0,-6144,37888,48128,-8584,-464,21962,-31010,0,1024
14591,0,-6144,-19456,-26624,4408,-141,2053,-1730,0,4096
14596,0,-6144,-22528,65536,5104,-180,-21240,26164,0,4096
14601,0,-6144,29696,-7168,-6728,-17,24417,-31162,0,1024
14606,0,-6144,-16384,-34816,4872,40,-14447,19359,0,1024
14611,0,-6144,26624,86016,-6032,-93,14148,-20273,0,1024
14616,0,-6144,1024,-29696,-232,-108,-4372,4032,0,1024
14621,0,-6144,44032,44032,-9976,-200,22123,-32299,0,1024
14626,0,-6144,-17408,92160,3944,-173,-21355,25126,0,4096
14631,0,-6144,46080,37888,-10440,-326,13815,-24581,0,1024
14636,0,-6144,77824,93184,-17632,-256,42937,-60825,0,1024
14641,0,-6144,-21504,87040,4872,-253,-31556,36175,0,4096
14646,0,-6144,34816,90112,-7888,-461,-1848,-6501,0,1024
14651,0,-6144,82944,141312,-18792,-517,33138,-52447,0,1024
14656,0,-6144,67584,113664,-15312,-559,28032,-43903,0,1024
14661,0,-6144,-25600,11264,5800,-559,-39668,44909,0,4096
14666,0,-6144,-72704,60416,16472,-504,-73300,89268,0,4096
14671,0,-6144,48128,194560,-10904,-285,20619,-31808,0,1024
14676,0,-6144,68608,137216,-15544,-27,54848,-70419,0,4096
14681,0,-6144,-38912,65536,8816,187,-13036,22039,0,1024
14686,0,-6144,-96256,50176,21808,60,-64580,86448,0,1024
14691,0,-6144,-14336,82944,3248,-38,-5267,8477,0,4096
14696,0,-6144,36864,69632,-8352,-45,35077,-43474,0,1024
14701,0,-6144,26624,96256,-6032,23,28686,-34695,0,4096
14706,0,-6144,32768,181248,-7424,-26,29581,-37031,0,1024
14711,0,-6144,51200,190464,-11600,-63,38084,-49747,0,4096
14716,0,-6144,-19456,15360,4408,-66,-22881,27223,0,4096
14721,0,-6144,-28672,-82944,7424,-226,-47723,54921,0,4096
14726,0,-9216,30720,-44032,-6960,-514,-18945,11471,0,1024
14731,0,-9216,137216,145408,-31088,-669,55307,-87064,0,1024
14736,0,-9216,110592,166912,-29696,-801,54906,-85403,0,1024
14741,0,-9216,56320,114688,-12760,-805,9661,-23226,0,1024
14746,0,-9216,15360,65536,-3480,-811,-12818,8527,0,1024
14751,0,-9216,17408,138240,-3944,-896,-8125,3285,0,1024
14756,0,-9216,-24576,290816,5568,-915,-37109,41762,0,4096
14761,0,-9216,-27648,311296,6264,-981,-40644,45927,0,4096
14766,0,-9216,-33792,335872,7656,-1017,-49709,56348,0,4096
14771,0,-9216,15360,237568,-3480,-1082,-18073,13511,0,1024
14776,0,-9216,70656,200704,-16008,-1134,19919,-37061,0,1024
14781,0,-9216,66560,269312,-15080,-1046,20011,-36137,0,1024
14786,0,-9216,88064,343040,-19952,-846,43052,-63850,0,1024
14791,0,-9216,71680,416768,-16240,-562,40964,-57766,0,1024
14796,0,-9216,35840,467968,-8120,-567,15708,-24395,0,1024
14801,0,-9216,10240,422912,-2320,-705,-10557,7532,0,1024
14806,0,-9216,26624,312320,-6032,-913,-9662,2717,0,1024
14811,0,-9216,59392,381952,-13456,-1012,5817,-20285,0,1024
14816,0,-9216,160768,305152,-36424,-1196,69065,-106685,0,1024
14821,0,-9216,194560,291840,-44080,-1561,79473,-125114,0,1024
14826,0,-9216,184320,321536,-41760,-2064,57820,-101644,0,1024
14831,0,-9216,151552,288768,-34336,-2499,29960,-66795,0,1024
14836,0,-9216,144384,249856,-32712,-2951,21641,-57304,0,1024
14841,0,-9216,109568,295936,-24824,-3415,-4154,-24085,0,1024
14846,0,-9216,110592,327680,-25056,-3729,6322,-35107,0,1024
14851,0,-9216,143360,361472,-32480,-3988,10510,-37930,0,1024
14856,0,-9216,121856,357376,-27608,-4229,31130,-62967,0,1024
14861,0,-9216,130048,326656,-29464,-4475,41434,-75373,0,1024
14866,0,-12288,100352,306176,-22736,-4809,16684,-44229,0,1024
14871,0,-12288,109568,319488,-24824,-5173,17647,-47644,0,1024
