R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000000,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
386.959,1.075,-0.181,-0.188,0.391,0.358,0.362
386.972,-0.108,-0.543,-0.224,0.364,0.338,0.366
386.982,0.348,-0.258,-0.243,0.386,0.354,0.370
386.993,0.919,-0.336,-0.236,0.413,0.380,0.375
387.005,-1.622,-0.665,-0.263,0.336,0.308,0.365
387.017,3.855,0.261,-0.250,0.503,0.461,0.379
387.027,2.095,0.574,-0.164,0.483,0.436,0.403
387.037,-1.359,-0.666,-0.172,0.374,0.344,0.400
387.048,-3.196,0.293,-0.151,0.310,0.261,0.372
387.058,-4.977,-0.162,-0.158,0.210,0.167,0.328
387.068,-5.492,-0.317,-0.135,0.128,0.086,0.265
387.078,-4.342,0.346,-0.141,0.116,0.063,0.214
387.088,-3.777,1.041,-0.037,0.075,0.015,0.165
387.098,-7.318,-0.156,0.010,-0.067,-0.107,0.112
387.109,-14.041,-0.509,-0.023,-0.358,-0.388,-0.003
387.119,-20.966,0.294,0.005,-0.732,-0.771,-0.190
387.129,-23.178,1.401,0.139,-1.020,-1.074,-0.424
387.139,-25.787,0.394,0.197,-1.372,-1.409,-0.686
387.150,-23.943,0.575,0.238,-1.609,-1.645,-0.950
387.160,-17.604,0.427,0.256,-1.696,-1.728,-1.163
387.170,-14.777,0.617,0.300,-1.777,-1.807,-1.318
387.180,-12.964,0.427,0.325,-1.826,-1.846,-1.435
387.190,-14.161,-0.048,0.312,-1.960,-1.974,-1.561
387.200,-14.100,1.009,0.322,-2.108,-2.143,-1.710
387.211,-9.767,-0.116,0.330,-2.110,-2.124,-1.817
387.221,-6.914,-0.121,0.223,-2.112,-2.124,-1.898
387.231,-2.073,0.671,0.250,-2.031,-2.049,-1.938
387.241,-0.061,0.777,0.292,-1.972,-1.999,-1.941
387.252,-0.262,0.736,0.332,-1.971,-1.997,-1.936
387.262,-0.191,-0.070,0.313,-1.973,-1.979,-1.933
387.272,4.145,0.018,0.271,-1.845,-1.848,-1.907
387.282,7.936,0.079,0.251,-1.689,-1.693,-1.843
387.292,13.167,0.931,0.259,-1.431,-1.450,-1.729
387.303,16.378,1.206,0.341,-1.199,-1.217,-1.570
387.313,19.642,-0.956,0.277,-0.959,-0.938,-1.382
387.323,24.297,-0.372,0.185,-0.613,-0.599,-1.156
387.333,28.626,-0.169,0.138,-0.220,-0.213,-0.883
387.344,33.082,-0.732,0.054,0.219,0.232,-0.559
387.354,36.531,-0.835,-0.033,0.651,0.668,-0.208
