R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
35,1,25,35,1,25,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDRefZi,PIDSensXi,PIDSensZi,PIDPoutXi,PIDIoutXi,PIDDoutXi
10098,-3.235,5250,0,32768,8192,5120,-560,-7,-33
10103,-4.211,5250,0,32768,10240,10240,-700,-7,-33
10108,-6.653,5250,0,32768,2048,9216,-140,-7,-33
10113,1.038,5250,0,32768,11264,3072,-770,-8,-33
10118,2.380,5250,0,32768,10240,10240,-700,-8,-33
10123,5.920,5250,0,16384,12288,12288,-840,-9,164
10128,2.869,5250,0,32768,5120,7168,-350,-9,138
10133,0.305,5250,0,32768,7168,5120,-490,-9,138
10138,-4.089,5250,0,32768,7168,5120,-490,-10,138
10143,-4.822,5250,0,32768,13312,5120,-910,-10,178
10148,2.991,5250,0,32768,5120,3072,-350,-10,178
10153,-7.629,5250,0,32768,10240,3072,-700,-11,178
10158,-1.404,5250,0,32768,10240,30720,-700,-11,201
10163,0.061,5250,0,32768,5120,21504,-350,-11,201
10169,2.502,5250,0,16384,-5120,-19456,350,-11,201
10174,-2.014,5250,0,32768,4096,-16384,-280,-11,201
10179,-3.601,5250,0,32768,17408,21504,-1190,-12,140
10184,-7.263,5250,0,32768,5120,47104,-350,-13,140
10189,-1.160,5250,0,32768,0,-1024,0,-13,-237
10194,4.089,5250,0,32768,5120,-18432,-350,-13,-237
10199,-6.653,5250,0,32768,16384,-12288,-1120,-13,-237
10204,-2.380,5250,0,32768,14336,51200,-980,-14,-237
10209,6.897,5250,0,32768,2048,22528,-140,-15,754
10214,-2.502,5250,0,32768,-5120,-34816,350,-14,754
10219,4.822,5250,0,16384,5120,-11264,-350,-14,754
10224,-6.531,5250,0,16384,23552,40960,-1610,-15,754
10229,4.578,5250,0,16384,12288,15360,-840,-16,754
10234,1.526,5250,0,16384,16384,-21504,-1120,-16,754
10239,-1.404,5250,0,32768,6144,15360,-420,-16,219
10244,4.089,5250,0,32768,2048,44032,-140,-16,219
10249,4.944,5250,0,32768,9216,2048,-630,-17,219
10254,-2.747,5250,0,32768,-7168,-33792,490,-17,-43
10259,-4.578,5250,0,32768,21504,34816,-1470,-17,-43
10264,5.066,5250,0,32768,11264,56320,-770,-17,-43
10269,-9.338,5250,0,32768,-3072,31744,210,-17,643
10274,1.526,5250,0,32768,-3072,16384,210,-17,-813
10279,-0.671,5250,0,32768,1024,-14336,-70,-17,-193
10284,5.676,5250,0,32768,5120,-6144,-350,-18,-193
10289,9.949,5250,0,32768,15360,22528,-1050,-19,-193
10294,1.770,5250,0,32768,25600,37888,-1750,-20,-193
10299,-1.892,5250,0,32768,3072,15360,-210,-21,649
10304,-5.798,5250,0,32768,-8192,2048,560,-22,649
10309,-20.325,5250,0,32768,0,36864,0,-21,649
10314,-8.606,5250,0,32768,38912,10240,-2660,-21,-1833
10319,5.310,5250,0,32768,16384,-18432,-1120,-22,-1833
10324,2.380,5250,0,32768,31744,31744,-2170,-23,-1833
10329,6.042,5250,0,32768,-40960,-26624,2800,-22,430
10334,-0.793,5250,0,32768,-11264,-23552,770,-22,430
10339,5.432,5250,0,32768,48128,-14336,-3290,-23,430
10344,-13.489,5250,0,32768,43008,-40960,-2940,-24,1771
10349,-5.432,5250,0,32768,48128,-18432,-3290,-27,1771
10354,-4.333,5250,0,32768,5120,37888,-350,-28,1771
10359,-2.991,5250,0,32768,14336,28672,-980,-29,305
10364,0.793,5250,0,32768,15360,-41984,-1050,-30,305
10369,1.770,5250,0,32768,-11264,48128,770,-30,305
10374,-8.484,5250,0,32768,24576,20480,-1680,-31,305
10379,-0.183,5250,0,32768,-5120,-62464,350,-31,305
10384,-0.305,5250,0,32768,-8192,68608,560,-33,305
10389,-4.700,5250,0,32768,7168,10240,-490,-33,-449
10394,-17.151,5250,0,32768,-10240,-56320,700,-33,653
10399,-5.920,5250,0,32768,13312,48128,-910,-34,653
10404,-7.141,5250,0,32768,24576,-11264,-1680,-35,-71
10409,0.183,5250,0,32768,11264,-11264,-770,-35,177
10414,5.310,5250,0,32768,13312,37888,-910,-36,177
10419,5.676,5250,0,32768,7168,3072,-490,-36,-31
10424,1.770,5250,0,16384,-3072,-10240,210,-36,-31
10429,-8.850,5250,0,16384,32768,12288,-2240,-37,-31
10434,11.291,5250,0,32768,-6144,-1024,420,-38,1244
10439,-9.949,5250,0,32768,-12288,2048,840,-37,1244
10444,4.578,5250,0,32768,36864,14336,-2520,-38,1244
10449,1.282,5250,0,32768,-19456,3072,1330,-39,1118
10454,0.061,5250,0,32768,-3072,7168,210,-38,1118
10459,3.479,5250,0,32768,35840,17408,-2450,-39,1118
10464,2.014,5250,0,32768,-41984,-5120,2870,-39,433
10469,-18.738,5250,0,32768,22528,26624,-1540,-38,433
10474,-7.874,5250,0,32768,1024,-3072,-70,-40,433
10479,-7.996,5250,0,32768,-41984,-2048,2870,-39,-2798
10484,-5.920,5250,0,32768,32768,32768,-2240,-40,-2798
10489,-5.920,5250,0,32768,-5120,-17408,350,-41,-470
10494,-11.536,5250,0,32768,3072,-13312,-210,-40,-782
10499,2.502,5250,0,32768,50176,54272,-3430,-42,-782
10504,-3.967,5250,0,32768,-6144,-72704,420,-42,-782
10509,-6.775,5250,0,16384,50176,20480,-3430,-42,314
10514,6.042,5250,0,16384,3072,25600,-210,-44,314
10519,-11.902,5250,0,16384,4096,-81920,-280,-43,314
10524,-7.996,5250,0,32768,41984,109568,-2870,-44,314
10529,-1.160,5250,0,32768,-20480,-83968,1400,-44,314
10534,-3.723,5250,0,32768,24576,4096,-1680,-44,1011
10539,6.653,5250,0,32768,1024,86016,-70,-45,1011
10544,-12.024,5250,0,32768,-24576,-123904,1680,-44,1011
10549,5.798,5250,0,32768,16384,142336,-1120,-46,1241
10554,3.357,5250,0,32768,-32768,-138240,2240,-45,1241
10559,-4.700,5250,0,32768,26624,77824,-1820,-45,1241
10564,-0.183,5250,0,32768,-14336,-12288,980,-46,-869
10569,-4.822,5250,0,32768,11264,-82944,-770,-45,-869
10574,5.920,5250,0,32768,11264,136192,-770,-47,1806
10580,-12.024,5250,0,32768,17408,-215040,-1190,-46,1806
10585,-6.409,5250,0,32768,28672,191488,-1960,-48,1806
10590,-9.705,5250,0,32768,-15360,-149504,1050,-48,-1010
10595,5.554,5250,0,32768,40960,141312,-2800,-50,-1010
10600,8.850,5250,0,32768,-28672,-50176,1960,-51,-1010
10605,-2.136,5250,0,32768,48128,41984,-3290,-52,128
10610,17.761,5250,0,32768,-36864,15360,2520,-53,128
10615,-19.104,5250,0,32768,53248,-55296,-3640,-53,128
10620,14.099,5250,0,32768,-21504,78848,1470,-55,128
10625,-16.418,5250,0,32768,40960,-110592,-2800,-55,-1394
10630,21.790,5250,0,32768,-8192,99328,560,-58,-1394
10635,-22.278,5250,0,32768,28672,-80896,-1960,-57,-1394
10640,35.339,5250,0,32768,-36864,80896,2520,-61,-1394
10645,-20.447,5250,0,32768,7168,-58368,-490,-59,-1394
10650,20.447,5250,0,32768,-28672,66560,1960,-62,-1394
10655,-34.485,5250,0,32768,15360,-31744,-1050,-60,-4286
10660,31.189,5250,0,32768,-81920,-1024,5600,-63,-4286
10665,-50.598,5250,0,32768,80896,-8192,-5530,-61,-25
10670,9.460,5250,0,32768,-121856,-16384,8330,-63,7882
10675,-58.289,5250,0,32768,139264,-16384,-9520,-63,7882
