R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,200,80,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFRawR,aKFRawP,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
317.975,24.890,-37.823,-1.275,-0.873,4.467,4.657,5.438,7.312,4.764,7.006
317.987,25.935,-28.367,-0.649,-2.147,5.142,4.149,5.594,7.258,5.044,7.111
317.999,49.271,24.149,0.642,-2.379,5.956,4.483,5.792,7.069,5.356,7.119
318.012,21.944,-26.986,2.075,-2.627,6.276,4.387,6.103,6.845,5.696,7.040
318.024,-17.353,62.052,2.538,-2.376,6.002,5.368,6.499,6.521,6.068,6.901
318.036,38.689,41.027,2.787,-1.092,6.670,6.068,6.648,6.221,6.410,6.750
318.048,48.089,-6.657,3.597,-0.349,7.815,5.709,7.180,6.206,6.774,6.638
318.061,-28.245,-50.281,2.978,-1.136,7.897,5.826,7.651,6.129,7.160,6.515
318.073,-2.432,73.191,1.656,-1.873,7.720,7.052,7.899,5.850,7.468,6.326
318.085,7.122,34.373,0.664,-0.510,7.895,7.833,8.102,5.560,7.673,6.125
318.097,-23.657,-22.494,-0.346,-0.475,8.321,7.868,8.362,5.435,7.834,5.949
318.109,-41.522,-9.677,-2.310,-0.823,7.870,7.374,8.260,5.093,7.883,5.736
318.122,-4.793,-44.933,-3.832,-1.749,7.985,6.374,7.977,4.698,7.788,5.430
318.134,-6.558,-17.132,-4.298,-2.683,7.879,5.723,7.576,4.203,7.574,5.043
318.146,-8.387,19.198,-4.619,-2.788,8.100,4.825,7.380,3.631,7.334,4.586
318.158,-15.882,-0.932,-4.895,-2.114,7.606,4.273,6.829,3.115,7.040,4.126
318.171,-10.898,-79.146,-5.077,-3.426,7.219,3.032,6.151,2.530,6.653,3.599
318.183,-69.873,18.828,-4.839,-4.084,6.143,3.469,5.475,1.764,6.217,2.993
318.195,44.388,-39.854,-4.175,-3.888,6.502,2.752,4.981,1.142,5.767,2.367
318.205,-15.459,23.511,-3.093,-3.728,6.341,2.352,4.697,0.717,5.489,1.910
318.218,5.625,-53.748,-2.670,-4.361,5.790,1.018,4.171,0.112,5.097,1.299
318.230,-12.776,-48.819,-2.691,-5.101,5.291,-0.084,3.656,-0.430,4.673,0.674
318.242,-52.730,34.789,-3.500,-6.121,3.688,-0.438,3.215,-1.062,4.204,0.022
318.254,-6.424,20.501,-3.994,-5.621,3.303,-0.396,2.722,-1.648,3.682,-0.613
318.267,-15.317,-3.317,-4.598,-5.030,2.993,-0.719,2.223,-2.176,3.139,-1.190
