R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
593.575,51.708,67.152,4.011,-5.763,10.095,11.611,8.307,13.948,8.573,12.965,8.190,13.761
593.586,26.709,33.905,1.928,-5.308,9.257,10.224,7.740,12.288,7.732,11.601,8.118,13.399
593.598,1.167,5.415,-0.786,-4.122,6.635,8.764,6.754,10.491,6.707,10.102,7.788,12.649
593.610,-21.313,-20.038,-2.037,-0.196,5.610,7.436,5.507,8.734,5.573,8.418,7.184,11.598
593.622,-43.803,-40.432,-3.006,-0.021,3.512,6.043,4.008,7.074,4.188,6.683,6.326,10.342
593.633,-64.459,-56.536,-5.116,1.115,1.395,4.472,2.264,5.442,2.588,4.957,5.222,8.958
593.645,-81.197,-68.857,-7.002,3.501,-0.457,2.818,0.503,3.953,1.020,3.323,3.926,7.512
593.657,-96.997,-77.834,-7.507,3.709,-1.959,1.226,-1.303,2.657,-0.587,1.879,2.501,6.113
593.668,-109.174,-83.776,-6.248,2.369,-3.303,-0.233,-3.183,1.326,-2.338,0.490,0.911,4.714
593.680,-121.098,-88.814,-4.911,0.163,-4.734,-1.733,-4.952,0.060,-4.076,-0.712,-0.726,3.374
593.691,-130.624,-90.172,-6.144,-6.929,-6.422,-3.862,-6.665,-1.360,-5.817,-1.831,-2.423,2.016
593.703,-138.119,-93.884,-3.469,-11.446,-7.333,-6.047,-8.366,-3.175,-7.559,-3.117,-4.156,0.562
593.715,-142.744,-95.416,-2.365,-12.385,-8.489,-8.054,-9.899,-5.009,-9.221,-4.465,-5.873,-0.992
593.726,-142.896,-100.056,-2.576,-12.183,-9.955,-10.228,-11.153,-6.884,-10.621,-5.948,-7.462,-2.584
593.738,-136.456,-105.220,-7.962,-11.099,-12.120,-11.740,-12.293,-8.757,-11.748,-7.557,-8.943,-4.246
593.750,-121.534,-108.877,-13.683,-8.491,-13.469,-13.165,-13.279,-10.435,-12.428,-9.160,-10.254,-5.913
593.762,-102.307,-112.502,-11.165,-6.381,-13.799,-14.590,-14.046,-11.908,-12.878,-10.739,-11.400,-7.552
593.774,-80.366,-117.307,-7.302,-6.391,-13.832,-15.793,-14.303,-13.299,-13.105,-12.216,-12.299,-9.130
593.786,-59.171,-124.600,-2.914,-3.056,-12.327,-16.332,-14.006,-14.746,-13.057,-13.791,-12.866,-10.667
593.797,-28.519,-131.723,-3.871,1.696,-11.477,-16.750,-13.062,-15.888,-12.312,-15.345,-13.048,-12.134
593.809,-2.591,-135.480,-1.743,4.629,-9.979,-17.507,-11.920,-16.692,-11.356,-16.670,-12.848,-13.463
593.821,19.085,-133.621,0.842,3.464,-8.166,-18.480,-10.566,-17.219,-10.286,-17.573,-12.326,-14.593
593.833,38.872,-128.154,2.837,-4.302,-6.407,-20.366,-8.968,-17.830,-9.018,-18.220,-11.526,-15.593
593.845,56.887,-113.656,1.896,-12.961,-5.008,-21.416,-7.299,-18.425,-7.596,-18.413,-10.492,-16.432
593.856,71.188,-96.632,2.335,-13.962,-3.491,-21.831,-5.708,-19.060,-6.167,-18.491,-9.288,-17.170
593.868,85.790,-80.445,4.757,-5.489,-1.651,-21.357,-3.966,-19.283,-4.627,-18.552,-7.932,-17.755
593.880,92.613,-58.661,5.706,5.599,0.021,-19.763,-2.219,-18.518,-3.119,-18.192,-6.447,-18.031
593.892,100.237,-33.563,1.279,9.286,0.483,-17.996,-0.478,-17.038,-1.448,-17.388,-4.888,-17.898
593.903,107.692,-3.950,-2.172,6.150,1.599,-16.862,0.985,-15.139,0.182,-15.956,-3.353,-17.293
593.915,108.033,25.211,-2.189,1.297,2.671,-15.357,2.036,-13.211,1.469,-14.139,-1.897,-16.307
593.927,107.388,49.227,0.785,-1.886,3.879,-13.920,3.015,-11.465,2.545,-12.248,-0.564,-15.066
593.939,105.984,71.744,5.292,-5.696,5.403,-12.767,4.135,-9.776,3.543,-10.272,0.703,-13.654
593.950,107.671,92.526,6.475,-7.904,6.887,-11.208,5.457,-8.169,4.661,-8.304,1.953,-12.152
593.962,110.174,107.306,10.213,-5.329,8.897,-8.824,7.013,-6.533,5.905,-6.445,3.255,-10.576
593.974,115.706,121.325,9.684,-4.558,10.182,-6.099,8.652,-4.762,7.289,-4.579,4.601,-8.962
593.986,117.411,131.333,8.726,-4.280,10.950,-3.454,10.069,-3.079,8.567,-2.848,5.967,-7.329
593.998,112.726,130.374,8.991,-8.418,11.869,-2.403,11.174,-1.807,9.609,-1.453,7.284,-5.747
594.010,98.386,123.151,11.473,-13.726,12.177,-2.167,11.848,-1.166,10.196,-0.483,8.444,-4.387
594.021,76.243,107.267,11.924,-12.634,12.728,-1.861,12.175,-1.140,10.331,-0.122,9.395,-3.330
594.033,54.243,84.378,11.127,-12.020,12.503,-1.736,12.285,-1.315,10.323,-0.163,10.093,-2.605
594.045,27.595,55.359,11.160,-10.690,12.155,-2.030,11.841,-2.095,9.896,-0.759,10.489,-2.287
