R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
132.780,-51.481,34.785,-5.335,-3.407,8.087,-2.347
132.790,36.583,31.968,-4.418,-2.122,8.011,-2.732
132.801,24.521,0.519,-3.036,-1.227,7.894,-3.037
132.811,-59.904,-29.971,-3.073,-1.387,7.735,-3.289
132.822,-42.711,-0.435,-3.909,-1.673,7.429,-3.538
132.832,42.502,18.973,-2.925,-0.964,7.060,-3.744
132.842,22.240,21.004,-1.847,-0.135,6.672,-3.871
132.853,-78.266,-7.197,-2.205,0.104,6.232,-3.934
132.863,-52.548,-36.266,-3.125,-0.377,5.704,-3.953
132.874,38.729,-20.874,-2.858,-0.913,5.110,-3.976
132.884,36.004,16.347,-1.819,-0.758,4.514,-3.996
132.895,-26.817,46.523,-1.677,0.090,3.916,-3.980
132.905,-77.624,1.606,-3.062,0.974,3.261,-3.912
132.916,8.495,-75.332,-4.084,0.072,2.515,-3.827
132.926,42.755,-22.738,-3.703,-0.850,1.736,-3.765
132.937,6.363,39.135,-2.675,-0.314,1.029,-3.692
132.947,-31.591,34.471,-2.709,1.430,0.345,-3.556
132.958,-55.196,-19.896,-3.639,1.888,-0.372,-3.388
132.968,-16.060,-69.997,-4.359,1.034,-1.132,-3.226
132.979,35.824,31.189,-4.178,0.643,-1.892,-3.096
132.989,28.192,35.370,-3.589,0.849,-2.602,-2.977
133.000,7.868,-30.444,-3.091,0.703,-3.271,-2.841
133.010,-30.427,-57.543,-3.025,0.047,-3.882,-2.703
133.021,-49.479,37.883,-3.140,-0.203,-4.447,-2.625
133.031,8.359,66.986,-2.901,0.230,-4.977,-2.557
133.042,33.458,-2.865,-2.372,0.382,-5.466,-2.477
133.052,10.564,-67.082,-1.859,-0.304,-5.922,-2.360
133.063,-7.971,-77.023,-1.618,-0.903,-6.330,-2.266
133.073,-26.870,39.506,-1.612,-0.879,-6.653,-2.193
133.083,-5.854,16.104,-1.628,-0.607,-6.928,-2.109
133.094,18.619,21.702,-1.478,-0.402,-7.181,-2.019
133.104,-28.415,57.416,-1.376,-0.189,-7.405,-1.911
133.115,-59.434,-29.639,-1.486,-0.250,-7.625,-1.781
133.125,33.430,-26.252,-1.372,-0.553,-7.830,-1.659
133.136,61.945,8.145,-0.688,-0.649,-7.990,-1.529
133.146,-4.593,-17.805,-0.286,-0.712,-8.069,-1.390
133.157,-33.560,-22.448,-1.029,-1.188,-8.100,-1.246
133.167,-35.816,25.574,-2.015,-1.067,-8.146,-1.148
133.178,-17.153,24.556,-2.481,-0.450,-8.174,-1.063
