R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,30,0,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
212.757,-5.999,-8.598,-1.043,0.230,0.087,-0.072,-0.173,-0.203,-0.219
212.767,-12.835,-8.549,-0.614,0.158,0.006,-0.164,-0.226,-0.287,-0.315
212.778,1.203,-5.713,-0.502,0.199,-0.014,-0.244,-0.037,-0.302,-0.390
212.788,-2.214,-4.170,-0.058,0.179,-0.043,-0.299,-0.031,-0.323,-0.436
212.799,-1.604,-3.448,0.099,0.185,-0.087,-0.341,0.105,-0.350,-0.461
212.809,-5.144,-1.590,0.264,0.221,-0.058,-0.360,0.165,-0.306,-0.463
212.820,2.790,0.138,0.295,0.258,-0.034,-0.364,0.240,-0.261,-0.445
212.830,-2.947,0.050,0.594,0.263,-0.045,-0.359,0.293,-0.254,-0.421
212.841,6.452,-0.037,0.739,0.287,-0.049,-0.355,0.397,-0.233,-0.390
212.851,-17.474,-2.168,1.126,0.304,-0.091,-0.353,0.565,-0.249,-0.362
212.862,-1.970,-5.370,1.137,0.200,-0.180,-0.385,0.445,-0.305,-0.361
212.872,-4.534,-6.265,1.399,0.154,-0.281,-0.442,0.545,-0.374,-0.387
212.882,-17.596,-4.919,1.240,0.110,-0.303,-0.485,0.467,-0.359,-0.395
212.893,1.203,-6.093,0.700,-0.044,-0.369,-0.536,0.113,-0.399,-0.421
212.904,-11.370,-6.384,1.631,-0.053,-0.413,-0.583,0.210,-0.413,-0.439
212.914,-13.079,-4.892,1.750,-0.032,-0.381,-0.614,0.234,-0.340,-0.428
212.925,3.400,-2.493,0.617,-0.128,-0.334,-0.636,-0.179,-0.269,-0.426
212.935,-3.069,-2.787,0.921,-0.150,-0.385,-0.659,-0.111,-0.297,-0.425
212.946,-2.703,-2.277,1.570,-0.115,-0.394,-0.673,0.054,-0.278,-0.410
212.956,-2.092,-1.173,2.023,-0.098,-0.380,-0.675,0.114,-0.223,-0.371
212.967,-11.858,-1.319,1.420,-0.123,-0.364,-0.668,0.021,-0.175,-0.330
212.977,13.898,1.313,0.669,-0.124,-0.280,-0.658,-0.159,-0.072,-0.299
212.988,19.025,5.493,0.266,-0.022,-0.165,-0.619,-0.071,0.054,-0.246
212.998,8.649,5.191,0.553,0.072,-0.091,-0.552,0.084,0.136,-0.166
213.009,14.387,3.586,1.224,0.116,-0.091,-0.504,0.249,0.152,-0.100
213.019,17.439,5.452,1.981,0.237,-0.024,-0.448,0.524,0.248,-0.012
213.030,3.888,5.580,2.649,0.337,0.028,-0.373,0.765,0.339,0.101
213.040,-5.022,4.341,3.018,0.389,0.055,-0.301,0.914,0.405,0.214
213.051,-3.557,2.282,3.224,0.368,0.063,-0.244,0.862,0.457,0.316
213.061,1.081,3.949,3.292,0.406,0.125,-0.192,0.886,0.570,0.420
213.072,6.086,6.966,2.487,0.493,0.275,-0.112,0.860,0.752,0.534
213.082,-3.435,6.058,0.916,0.440,0.369,-0.025,0.475,0.859,0.635
213.093,16.462,4.683,-0.699,0.349,0.386,0.022,0.130,0.861,0.669
213.103,19.270,7.734,-1.972,0.318,0.475,0.068,-0.203,0.903,0.670
213.114,5.231,6.641,-2.444,0.390,0.541,0.134,-0.147,0.915,0.684
213.124,12.311,5.296,-2.256,0.400,0.567,0.178,-0.206,0.885,0.674
213.135,10.602,5.323,-1.365,0.494,0.584,0.215,0.047,0.858,0.668
213.145,-12.224,1.616,-0.382,0.499,0.527,0.243,0.185,0.773,0.668
213.156,9.504,1.183,-0.388,0.438,0.496,0.241,0.050,0.722,0.646
213.166,-6.975,1.569,-0.629,0.428,0.498,0.244,0.007,0.701,0.625
213.177,-12.713,-0.397,-1.476,0.310,0.469,0.242,-0.326,0.641,0.591
213.187,2.057,0.539,-1.859,0.238,0.458,0.223,-0.556,0.591,0.531
213.198,0.470,2.050,-1.669,0.313,0.488,0.224,-0.392,0.584,0.494
213.208,-0.872,0.175,-0.789,0.331,0.435,0.223,-0.212,0.504,0.466
213.219,-6.121,-1.535,0.254,0.327,0.375,0.212,-0.076,0.438,0.447
213.229,2.668,-2.369,1.447,0.321,0.302,0.184,0.098,0.379,0.430
213.240,-9.295,-3.563,1.791,0.262,0.253,0.161,0.047,0.355,0.427
213.250,-1.848,-3.583,1.339,0.190,0.231,0.131,-0.110,0.355,0.416
213.261,-7.952,-4.371,0.649,0.107,0.209,0.099,-0.310,0.345,0.394
213.272,10.114,-5.458,0.556,0.005,0.118,0.041,-0.411,0.265,0.343
213.282,-14.300,-6.566,1.403,-0.029,0.052,-0.006,-0.342,0.216,0.310
