R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,20,20,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,300,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
146.682,5,0,0,0.000,-0.446,0.000,0.638,1.537,0.346
146.688,-1,-1,-1,0.000,-0.446,0.000,0.462,1.771,1.108
146.694,1,0,0,0.000,-0.446,0.000,0.717,1.085,1.049
146.700,-6,-1,-1,0.000,-0.446,0.000,1.810,0.437,0.501
146.706,-1,0,0,0.000,-0.446,0.000,1.594,0.535,0.235
146.712,-4,0,0,0.000,-0.446,0.000,1.609,1.626,-0.359
146.718,-12,-1,-1,0.000,-0.446,0.000,1.711,-0.189,0.579
146.724,-4,-1,-1,0.000,-0.446,0.000,1.998,0.754,-0.798
146.730,-2,-1,-1,0.000,-0.297,0.000,1.972,0.683,-0.248
146.736,-1,-1,-1,0.000,-0.297,0.000,1.179,0.135,0.167
146.742,-10,-1,-1,0.000,-0.297,0.000,0.842,0.131,1.552
146.748,-12,-2,-2,0.000,-0.297,0.000,1.985,0.262,0.309
146.753,-5,-1,-1,0.000,-0.297,0.000,1.533,0.319,-0.267
146.759,-1,-2,-2,0.000,-0.297,0.000,1.450,-0.644,-0.683
146.765,-6,-1,-1,0.000,-0.446,0.000,1.531,0.396,-0.019
146.771,-7,-1,-1,0.000,-0.446,0.000,1.899,-0.086,0.390
146.777,-1,-2,-2,0.000,-0.446,0.000,1.079,0.873,1.446
146.783,-14,-2,-2,0.000,-0.446,0.000,2.430,-0.548,1.186
146.789,-4,0,0,0.000,-0.446,0.000,0.762,0.289,1.200
146.795,9,0,0,0.000,-0.446,0.000,-0.107,-0.579,1.148
146.801,-9,-3,-4,0.000,-0.446,0.000,0.917,-0.652,1.762
146.807,-6,-2,-2,0.000,-0.446,0.000,0.675,0.442,0.252
146.813,1,-1,-1,0.000,-0.446,0.000,0.362,-1.726,1.772
146.819,18,-2,-2,0.000,-0.446,0.000,0.245,-2.192,1.582
146.826,-14,-4,-5,0.000,-0.446,0.000,1.799,-0.090,0.088
146.832,3,-1,-1,0.000,-0.446,0.000,0.955,2.228,-0.799
146.838,2,-1,0,0.000,-0.446,0.000,-0.784,0.200,1.356
146.844,6,-1,0,0.000,-0.446,0.000,-1.046,-1.807,1.650
146.850,4,-2,-2,0.000,-0.446,0.000,0.823,-2.009,1.686
146.856,2,-2,-2,0.000,-0.446,0.000,-0.182,2.058,0.392
146.862,-11,-2,-2,0.000,-0.446,0.000,-0.031,3.029,0.399
146.868,-7,-1,0,0.000,-0.446,0.000,-0.569,1.852,2.333
