R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,100,5,100,5,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
251.810,18.781,-0.658,1.373,2.093,1.677,1.088,2.088
251.820,14.813,0.068,1.441,2.137,1.826,1.188,2.090
251.830,11.503,-0.371,1.411,2.197,1.947,0.906,2.108
251.840,7.034,-1.069,1.341,2.189,2.025,0.646,2.047
251.850,0.449,-0.361,1.280,2.088,2.050,0.664,1.899
251.862,-5.084,0.381,1.204,1.961,2.015,0.699,1.736
251.874,-8.922,0.789,1.082,1.804,1.923,0.661,1.557
251.885,-13.519,0.811,0.873,1.579,1.789,0.493,1.316
251.897,-15.415,0.751,0.684,1.369,1.615,0.359,1.097
251.907,-19.595,0.357,0.455,1.140,1.440,0.134,0.862
251.917,-22.049,0.141,0.260,0.937,1.239,-0.041,0.650
251.927,-21.384,0.501,0.140,0.774,1.036,-0.048,0.484
251.939,-20.512,0.663,-0.068,0.549,0.793,-0.207,0.264
251.949,-23.746,0.637,-0.353,0.276,0.579,-0.511,0.002
251.959,-25.215,0.067,-0.630,0.049,0.343,-0.900,-0.217
251.969,-25.542,-0.418,-0.883,-0.165,0.104,-1.237,-0.429
251.979,-24.686,0.786,-1.063,-0.393,-0.138,-1.272,-0.641
251.989,-22.811,1.487,-1.246,-0.598,-0.363,-1.360,-0.812
251.999,-20.674,0.546,-1.543,-0.805,-0.581,-1.843,-0.984
252.009,-21.657,-0.339,-1.829,-1.003,-0.787,-2.315,-1.163
252.019,-22.398,0.887,-1.973,-1.202,-0.990,-2.275,-1.333
252.030,-21.426,1.710,-2.115,-1.394,-1.193,-2.235,-1.475
252.040,-20.779,0.947,-2.334,-1.554,-1.382,-2.544,-1.586
252.050,-19.520,0.184,-2.538,-1.704,-1.573,-2.828,-1.699
252.060,-16.483,0.329,-2.607,-1.763,-1.722,-2.869,-1.723
252.070,-11.239,0.504,-2.629,-1.800,-1.852,-2.802,-1.721
252.080,-12.016,0.816,-2.736,-1.919,-1.956,-2.823,-1.798
252.090,-12.646,1.012,-2.786,-1.985,-2.043,-2.773,-1.818
252.101,-4.393,1.324,-2.691,-1.890,-2.111,-2.618,-1.676
252.111,-4.561,0.787,-2.737,-1.912,-2.135,-2.666,-1.654
252.121,-0.430,-0.511,-2.743,-1.800,-2.132,-2.929,-1.520
252.131,6.347,-0.689,-2.596,-1.635,-2.093,-2.790,-1.344
252.141,5.970,0.262,-2.492,-1.582,-2.018,-2.525,-1.274
252.151,8.639,1.171,-2.310,-1.458,-1.923,-2.150,-1.118
252.161,8.588,1.283,-2.212,-1.358,-1.815,-2.008,-0.985
252.172,9.354,0.798,-2.083,-1.201,-1.693,-1.911,-0.801
252.182,15.772,0.570,-1.872,-0.953,-1.551,-1.758,-0.538
252.192,12.304,0.159,-1.835,-0.887,-1.398,-1.764,-0.463
252.202,15.968,-0.290,-1.643,-0.646,-1.236,-1.677,-0.224
252.212,21.784,-0.839,-1.403,-0.358,-1.040,-1.545,0.051
252.222,18.676,-1.028,-1.283,-0.214,-0.831,-1.483,0.173
252.233,23.379,0.029,-0.932,0.065,-0.615,-0.951,0.435
252.243,22.649,0.582,-0.693,0.278,-0.378,-0.635,0.639
252.253,18.537,0.890,-0.551,0.412,-0.163,-0.463,0.766
252.263,24.682,1.155,-0.204,0.793,0.074,-0.191,1.140
252.273,21.411,0.143,-0.193,0.943,0.302,-0.517,1.274
252.283,19.275,-0.601,-0.115,1.120,0.513,-0.686,1.417
252.293,18.658,-1.304,-0.028,1.293,0.701,-0.823,1.539
252.304,15.821,-1.127,-0.012,1.325,0.845,-0.855,1.522
252.314,14.557,-0.277,0.185,1.455,0.995,-0.493,1.607
252.324,10.411,0.018,0.259,1.495,1.118,-0.336,1.613
252.334,12.208,-0.121,0.380,1.619,1.216,-0.228,1.703
252.344,7.037,-0.298,0.358,1.605,1.301,-0.277,1.653
252.354,4.870,-0.382,0.394,1.648,1.365,-0.266,1.657
252.364,3.655,-0.648,0.366,1.641,1.391,-0.353,1.612
252.374,0.531,-0.690,0.267,1.559,1.390,-0.503,1.490
252.384,-0.408,0.039,0.312,1.547,1.390,-0.319,1.448
252.395,-3.655,0.646,0.191,1.403,1.350,-0.377,1.285
252.405,-6.359,0.014,0.031,1.310,1.296,-0.693,1.176
252.415,-10.730,-0.739,-0.195,1.161,1.209,-1.110,0.999
252.425,-7.629,-0.969,-0.255,1.131,1.108,-1.239,0.939
252.435,-8.527,-0.903,-0.388,0.997,1.011,-1.366,0.775
252.445,-11.246,-0.337,-0.519,0.815,0.898,-1.364,0.573
252.456,-13.050,0.047,-0.722,0.612,0.754,-1.545,0.364
252.466,-16.170,0.715,-0.928,0.367,0.594,-1.623,0.123
252.476,-18.764,1.345,-1.135,0.137,0.410,-1.732,-0.086
252.487,-18.443,1.519,-1.291,-0.042,0.222,-1.780,-0.241
252.497,-18.565,1.281,-1.495,-0.214,0.047,-2.013,-0.384
252.507,-18.278,1.219,-1.715,-0.390,-0.130,-2.287,-0.532
252.517,-14.291,0.696,-1.822,-0.478,-0.285,-2.391,-0.595
252.527,-14.738,0.107,-1.985,-0.599,-0.419,-2.613,-0.698
252.538,-16.588,-0.032,-2.209,-0.808,-0.576,-2.833,-0.893
252.548,-13.475,-0.318,-2.270,-0.872,-0.717,-2.845,-0.944
252.558,-11.814,-0.411,-2.362,-0.968,-0.841,-2.890,-1.029
252.568,-10.875,-0.583,-2.467,-1.072,-0.957,-2.960,-1.121
252.579,-8.924,-0.877,-2.507,-1.113,-1.051,-2.969,-1.155
252.589,-7.158,-0.789,-2.561,-1.182,-1.133,-2.957,-1.217
252.600,-3.278,-1.567,-2.622,-1.148,-1.180,-3.221,-1.185
252.611,2.962,-2.428,-2.595,-1.025,-1.188,-3.412,-1.081
252.621,3.056,-2.468,-2.600,-1.028,-1.171,-3.412,-1.105
252.632,0.019,-2.341,-2.706,-1.125,-1.179,-3.526,-1.222
252.642,2.662,-2.415,-2.597,-1.020,-1.155,-3.393,-1.139
252.652,5.784,-1.943,-2.544,-0.993,-1.135,-3.263,-1.131
252.663,5.650,-1.584,-2.514,-0.993,-1.100,-3.143,-1.140
252.673,4.532,-1.464,-2.452,-0.942,-1.037,-3.036,-1.097
252.684,6.046,-1.420,-2.411,-0.905,-0.997,-2.967,-1.066
252.694,7.888,-0.787,-2.228,-0.765,-0.909,-2.658,-0.929
252.705,2.948,-0.395,-2.262,-0.830,-0.852,-2.589,-0.987
252.716,1.933,-1.004,-2.350,-0.866,-0.840,-2.781,-1.020
252.726,7.017,-1.883,-2.303,-0.716,-0.797,-2.966,-0.881
252.737,10.756,-2.035,-2.134,-0.530,-0.703,-2.830,-0.716
252.748,12.030,-1.793,-1.951,-0.368,-0.580,-2.590,-0.576
252.759,11.804,-2.333,-1.886,-0.248,-0.459,-2.654,-0.483
252.770,12.207,-3.248,-1.828,-0.124,-0.342,-2.763,-0.398
252.781,16.026,-3.048,-1.605,0.109,-0.196,-2.578,-0.210
252.792,17.421,-2.680,-1.441,0.268,-0.040,-2.414,-0.091
252.803,21.322,-2.487,-1.082,0.583,0.168,-1.961,0.180
252.814,19.997,-2.631,-0.844,0.769,0.381,-1.619,0.321
252.825,16.643,-2.132,-0.719,0.836,0.554,-1.377,0.344
252.836,14.218,-1.474,-0.610,0.901,0.695,-1.181,0.375
252.847,11.498,-1.581,-0.611,0.954,0.816,-1.324,0.395
252.858,14.410,-2.016,-0.491,1.153,0.937,-1.408,0.554
252.869,16.743,-2.035,-0.267,1.361,1.096,-1.167,0.716
252.880,15.213,-1.863,-0.124,1.455,1.243,-0.933,0.766
252.891,8.542,-2.029,-0.142,1.443,1.357,-0.991,0.709
252.902,1.591,-2.598,-0.351,1.304,1.375,-1.389,0.522
252.913,3.685,-3.062,-0.322,1.370,1.378,-1.478,0.534
252.924,2.785,-3.118,-0.307,1.378,1.386,-1.478,0.486
252.935,-7.129,-2.860,-0.568,1.107,1.328,-1.745,0.166
252.946,-7.284,-2.473,-0.642,0.996,1.221,-1.749,0.016
252.957,-9.950,-2.350,-0.817,0.800,1.092,-1.891,-0.209
